152,TOELF,Tokyo Electron Limited,75.39B,172.28,4.72%,16.24B,2025-06-20
153,TOELY,Tokyo Electron Limited,75.39B,82.27,-3.36%,16.24B,2025-06-20
154,CSLLY,CSL Limited,75.06B,78.99,1.70%,15.23B,2025-06-20
155,CNSWF,Constellation Software Inc.,75.05B,"3,516.04",-1.99%,10.37B,2025-06-20
156,PSBKF,"Postal Savings Bank of China Co., Ltd.",74.82B,0.650,8.39%,43.67B,2025-06-20
157,CMXHF,CSL Limited,74.60B,148.56,-1.54%,15.23B,2025-06-20
158,PSTVY,"Postal Savings Bank of China Co., Ltd.",74.49B,13.55,-1.42%,43.67B,2025-06-20
159,WEBNF,Westpac Banking Corporation,73.24B,20.35,-3.44%,13.33B,2025-06-20
160,ATLCY,Atlas Copco AB (publ),73.18B,13.75,0.72%,17.60B,2025-06-20
161,ATLFF,Atlas Copco AB (publ),73.18B,14.08,-,17.60B,2025-06-20
162,ATLKY,Atlas Copco AB (publ),73.18B,15.71,2.01%,17.60B,2025-06-20
163,ATLPF,Atlas Copco AB (publ),73.18B,15.60,-5.63%,17.60B,2025-06-20
164,ITOCF,ITOCHU Corporation,73.14B,53.93,5.46%,98.33B,2025-06-20
165,ITOCY,ITOCHU Corporation,73.02B,103.33,-0.58%,98.33B,2025-06-20
166,HNHAF,"Hon Hai Precision Industry Co., Ltd.",72.85B,3.256,-,215.78B,2025-06-20
167,HNHPF,"Hon Hai Precision Industry Co., Ltd.",72.85B,10.60,0.24%,215.78B,2025-06-20
168,MSBHF,Mitsubishi Corporation,72.64B,19.54,-2.25%,124.33B,2025-06-20
169,MTSUY,Mitsubishi Corporation,72.64B,19.30,-2.48%,124.33B,2025-06-20
170,SFBQF,SoftBank Corp.,71.88B,1.500,-1.32%,43.70B,2025-06-20
171,SOBKY,SoftBank Corp.,71.07B,14.87,-0.80%,43.70B,2025-06-20
172,NGGTF,National Grid plc,68.83B,14.78,2.72%,23.74B,2025-06-20
173,MZHOF,"Mizuho Financial Group, Inc.",67.65B,28.75,-1.88%,26.04B,2025-06-20
174,ZIJMF,Zijin Mining Group Company Limited,67.10B,2.500,-1.57%,42.42B,2025-06-20
175,ZIJMY,Zijin Mining Group Company Limited,66.96B,48.91,-2.49%,42.42B,2025-06-20
176,PBCRF,PT Bank Central Asia Tbk,66.00B,0.510,-13.56%,6.52B,2025-06-20
177,PBCRY,PT Bank Central Asia Tbk,66.00B,13.27,-2.39%,6.52B,2025-06-20
178,NEMCL,Newmont Corporation,64.52B,58.00,-,19.67B,2025-06-20
179,KDDIY,KDDI Corporation,64.10B,16.39,-1.59%,39.52B,2025-06-20
180,HKXCY,Hong Kong Exchanges and Clearing Limited,63.21B,50.00,-2.34%,3.07B,2025-06-20
181,KDDIF,KDDI Corporation,63.00B,16.84,-6.44%,39.52B,2025-06-20
182,CHBJF,China CITIC Bank Corporation Limited,62.96B,0.880,-,21.07B,2025-06-20
183,CHCJY,China CITIC Bank Corporation Limited,62.96B,18.00,-,21.07B,2025-06-20
184,HKXCF,Hong Kong Exchanges and Clearing Limited,62.76B,52.01,-0.76%,3.07B,2025-06-20
185,HCMLF,Holcim AG,61.75B,115.00,-0.65%,29.14B,2025-06-20
186,HCMLY,Holcim AG,61.75B,22.86,-1.49%,29.14B,2025-06-20
187,WFAFF,Wesfarmers Limited,60.97B,44.70,-22.61%,27.85B,2025-06-20
188,WFAFY,Wesfarmers Limited,60.97B,27.09,0.20%,27.85B,2025-06-20
189,INGVF,ING Groep N.V.,60.74B,17.47,-16.81%,21.68B,2025-06-20
190,BCLYF,Barclays PLC,60.72B,4.385,-1.46%,32.14B,2025-06-20
191,LLDTF,Lloyds Banking Group plc,60.39B,1.100,10.00%,22.69B,2025-06-20
192,CAIXY,"CaixaBank, S.A.",59.19B,2.790,0.36%,16.12B,2025-06-20
193,CIXPF,"CaixaBank, S.A.",59.19B,8.68,-0.29%,16.12B,2025-06-20
194,SEMHF,Siemens Healthineers AG,58.69B,53.24,-,25.01B,2025-06-20
195,SMMNY,Siemens Healthineers AG,58.69B,26.47,1.85%,25.01B,2025-06-20
196,LTOUF,Larsen & Toubro Limited,57.96B,48.68,31.57%,30.41B,2025-06-20
197,THLEF,Thales S.A.,57.90B,282.00,-3.92%,21.30B,2025-06-20
198,THLLY,Thales S.A.,57.90B,57.19,0.62%,21.30B,2025-06-20
199,MITSF,"Mitsui & Co., Ltd.",57.62B,20.20,-1.46%,97.92B,2025-06-20
200,MITSY,"Mitsui & Co., Ltd.",57.62B,401.60,-1.95%,97.92B,2025-06-20
201,FNMA,Federal National Mortgage Association,56.99B,10.20,2.72%,30.44B,2025-06-20
